home_encoded,away_encoded,FTR
13,18,1
27,14,0
2,21,2
4,20,1
7,8,2
25,3,0
24,1,1
12,28,2
17,0,0
15,6,1
0,4,1
1,2,0
3,27,2
8,25,1
18,17,1
20,13,0
14,24,2
21,7,1
6,12,2
28,15,2
1,8,1
18,6,0
3,20,0
15,7,0
21,12,0
25,27,0
13,0,1
2,14,0
24,17,0
28,4,2
20,15,2
6,21,2
7,1,1
12,2,1
14,3,1
17,25,2
27,18,1
4,13,0
8,28,1
0,24,2
13,17,1
3,4,2
15,12,1
21,20,0
24,7,1
28,6,0
18,14,1
2,8,1
25,0,2
1,27,2
20,2,0
12,24,1
4,18,1
8,21,0
14,25,1
17,3,2
7,28,2
27,15,1
0,1,1
6,13,0
21,13,0
1,4,2
2,27,2
6,3,1
7,18,1
24,20,1
28,25,1
8,14,0
12,17,1
15,0,2
3,24,1
4,8,1
13,12,1
18,1,0
25,21,2
27,7,0
0,2,1
14,28,0
20,6,0
17,15,1
8,27,1
1,3,1
2,18,2
6,17,1
12,4,1
24,25,2
28,20,2
7,14,0
15,13,2
21,0,1
20,12,0
14,1,1
3,8,1
25,2,2
27,21,2
4,6,0
17,28,2
0,7,2
13,24,1
18,15,0
2,15,1
0,28,2
1,13,0
3,18,1
14,20,1
21,4,1
27,17,0
25,6,0
7,12,0
8,24,2
18,25,0
6,7,1
4,27,1
17,2,1
20,8,0
24,21,2
12,0,1
15,3,1
28,1,1
13,14,1
27,24,0
0,20,2
2,28,0
3,12,0
7,13,0
8,18,0
25,4,0
14,6,1
21,15,2
1,17,1
17,14,2
4,7,0
6,27,0
13,3,1
24,2,1
20,25,1
18,0,2
28,21,2
12,8,1
15,1,2
7,2,1
4,14,0
6,1,1
12,25,1
15,24,1
20,18,1
28,27,1
13,8,1
21,17,0
0,3,0
8,6,1
2,13,0
24,4,1
25,7,2
14,15,0
1,12,0
17,20,1
18,21,0
3,28,2
27,0,0
13,25,1
4,17,1
6,2,0
12,18,2
21,1,1
20,27,0
15,8,2
28,24,0
0,14,0
7,3,2
8,0,2
1,20,0
2,4,0
3,21,0
17,7,1
18,28,0
14,12,1
25,15,1
24,6,0
24,3,1
1,18,1
2,0,2
6,20,0
7,27,1
8,4,1
21,25,2
15,17,1
12,13,0
28,14,1
3,2,1
17,8,0
20,7,2
25,1,1
18,24,2
27,12,0
4,15,0
0,6,0
13,28,1
14,21,1
3,6,2
4,1,0
17,12,0
20,24,1
25,28,1
14,8,1
18,7,2
27,2,1
0,15,1
13,21,1
21,27,1
7,0,2
6,4,1
8,3,1
12,20,0
15,18,1
28,17,2
24,13,0
2,25,0
1,14,0
25,24,2
0,21,2
3,1,2
14,7,2
18,2,1
20,28,0
27,8,2
17,6,1
4,12,1
13,15,1
1,25,1
2,3,1
7,20,0
8,17,2
21,14,0
6,0,2
12,27,1
24,18,1
15,4,0
28,13,0
27,13,0
12,6,2
2,1,1
7,21,0
13,20,1
17,18,2
25,8,0
27,3,2
15,28,2
4,0,2
24,14,1
8,7,1
3,25,2
21,2,1
28,12,2
20,4,0
18,13,0
1,24,0
0,17,1
6,15,0
14,27,1
6,24,1
4,2,1
7,17,1
21,3,2
20,1,1
12,14,0
15,25,1
28,18,1
0,8,1
13,27,1
18,12,1
3,7,0
2,6,2
17,4,2
27,20,1
25,13,1
8,15,2
24,28,0
13,2,1
0,27,1
7,25,1
21,18,1
20,17,0
28,3,2
4,24,2
6,8,1
15,14,1
12,1,1
1,21,2
14,0,1
18,20,0
24,15,2
25,12,2
3,0,1
27,28,0
2,7,0
17,21,1
1,6,0
8,13,2
14,4,1
12,3,2
24,27,1
15,21,1
17,1,2
18,8,0
28,2,1
13,7,1
4,25,1
20,0,0
6,14,1
1,28,0
25,20,0
7,4,0
3,15,0
0,18,1
2,17,0
8,12,1
27,6,1
21,24,1
14,13,1
18,3,0
12,7,1
15,2,1
28,0,0
6,25,1
4,21,2
17,27,2
13,1,1
20,14,1
24,8,1
7,6,0
25,18,1
0,12,2
14,17,1
21,28,1
27,4,0
3,13,0
2,24,2
8,20,2
1,15,0
18,27,0
25,17,1
13,4,2
21,6,1
3,14,0
28,8,1
1,7,1
24,0,1
2,12,1
15,20,2
6,18,1
4,28,2
14,2,1
17,24,0
0,13,1
8,1,2
12,21,1
7,15,0
20,3,2
27,25,1
18,4,0
2,20,0
24,12,1
3,17,2
21,8,0
28,7,1
25,14,0
1,0,1
15,27,2
13,6,1
0,25,1
4,3,0
6,28,1
7,24,2
8,2,0
12,15,0
14,18,1
17,13,0
20,21,1
27,1,2
