index,Release_year,Club,Overall,Physical,Defending,Pace,Shooting,Passing,Dribbling,GK_diving
0,2014,0,80.0,74.6,78.6,72.5,62.6,71.7,74.8,83.0
1,2014,1,73.27272727272727,73.4,70.6,71.0,57.7,61.9,64.4,80.0
2,2014,2,67.0,70.0,67.25,66.5,54.7,60.6,63.0,71.0
3,2014,3,68.0,70.5,67.25,69.7,52.1,58.7,63.8,76.0
4,2014,4,69.27272727272727,72.5,69.75,68.9,55.2,61.6,65.2,73.0
5,2014,6,83.0909090909091,77.16666666666667,79.66666666666667,73.7,69.3,71.1,74.1,84.0
6,2014,7,72.54545454545455,75.66666666666667,73.83333333333333,69.9,57.2,60.2,65.4,79.0
7,2014,8,78.9090909090909,77.33333333333333,78.83333333333333,75.4,65.9,70.6,73.9,84.0
8,2014,12,69.18181818181819,74.75,69.25,71.6,55.0,57.9,65.5,78.0
9,2014,13,79.18181818181819,77.0,73.83333333333333,76.4,61.9,71.1,75.5,84.0
10,2014,14,82.72727272727273,78.16666666666667,80.5,74.2,65.6,75.4,77.0,85.0
11,2014,15,80.45454545454545,76.0,74.4,76.0,62.9,73.7,74.4,87.0
12,2014,17,74.81818181818181,75.4,73.6,74.2,60.5,66.1,70.2,81.0
13,2014,18,72.9090909090909,74.25,71.25,70.5,61.2,63.4,66.3,79.0
14,2014,21,74.9090909090909,78.33333333333333,74.66666666666667,68.3,60.3,65.4,69.6,84.0
15,2014,20,76.36363636363636,76.0,75.8,69.7,58.6,65.9,70.7,72.0
16,2014,24,78.36363636363636,78.83333333333333,74.66666666666667,75.6,66.1,69.9,73.0,86.0
17,2014,25,70.36363636363636,69.0,64.83333333333333,70.5,58.5,61.2,65.6,80.0
18,2014,27,73.7,72.0,72.5,74.55555555555556,61.55555555555556,62.55555555555556,67.44444444444444,75.0
19,2014,28,67.27272727272727,70.83333333333333,62.666666666666664,67.5,51.6,59.1,60.7,71.0
0,2015,0,81.72727272727273,72.25,79.75,78.3,64.2,73.5,77.6,83.0
1,2015,1,75.2,77.4,72.8,75.88888888888889,60.55555555555556,68.88888888888889,72.88888888888889,80.0
2,2015,2,72.63636363636364,74.0,73.25,72.2,56.5,65.0,68.6,82.0
3,2015,3,70.36363636363636,71.75,71.25,68.0,52.7,61.3,65.9,73.0
4,2015,4,70.72727272727273,69.75,69.5,69.5,55.2,60.7,66.2,75.0
5,2015,6,83.36363636363636,78.16666666666667,80.0,75.4,68.9,72.1,74.7,83.0
6,2015,7,75.45454545454545,76.5,74.33333333333333,69.9,60.1,67.0,68.8,79.0
7,2015,8,76.27272727272727,74.16666666666667,75.0,71.9,58.6,64.8,68.3,82.0
8,2015,12,74.45454545454545,79.5,72.0,72.5,60.8,62.4,68.7,79.0
9,2015,13,80.0909090909091,77.6,77.4,74.9,61.6,69.1,73.1,82.0
10,2015,14,82.36363636363636,80.75,82.25,79.3,68.8,72.5,76.6,85.0
11,2015,15,82.0,77.5,79.33333333333333,71.44444444444444,62.44444444444444,73.11111111111111,74.88888888888889,88.0
12,2015,17,76.81818181818181,76.8,75.6,76.3,65.4,67.1,74.7,81.0
13,2015,18,73.45454545454545,73.0,69.16666666666667,74.8,63.4,67.2,69.2,77.0
14,2015,21,76.27272727272727,76.0,73.66666666666667,71.2,64.6,72.1,74.3,79.0
15,2015,20,75.5,77.0,75.2,68.33333333333333,55.22222222222222,64.44444444444444,69.66666666666667,81.0
16,2015,24,78.2,76.16666666666667,74.83333333333333,74.22222222222223,66.0,70.66666666666667,71.44444444444444,87.0
17,2015,25,73.45454545454545,75.5,71.16666666666667,69.3,59.7,63.1,66.2,81.0
18,2015,27,75.81818181818181,73.83333333333333,74.33333333333333,73.0,60.3,67.2,69.6,78.0
19,2015,28,67.81818181818181,73.25,67.25,74.0,56.1,60.1,65.5,68.0
0,2016,0,84.45454545454545,73.16666666666667,75.5,73.3,66.0,74.6,76.2,83.0
1,2016,1,74.0909090909091,74.0,71.83333333333333,70.4,58.9,62.2,67.0,73.0
2,2016,2,74.0,71.8,69.2,75.6,58.6,66.4,72.2,77.0
3,2016,3,72.36363636363636,73.75,72.0,65.4,56.6,62.5,66.6,72.0
4,2016,4,73.9090909090909,75.0,73.0,70.5,61.2,65.7,68.8,76.0
5,2016,6,84.45454545454545,80.0,84.2,70.9,67.2,71.2,73.1,84.0
6,2016,7,78.54545454545455,75.83333333333333,75.83333333333333,72.1,60.8,68.0,71.6,86.0
7,2016,8,80.54545454545455,78.5,80.83333333333333,73.5,65.5,70.2,73.6,78.0
8,2016,12,79.0,80.25,78.25,70.8,61.3,65.9,70.0,82.0
9,2016,13,81.18181818181819,77.8,77.4,76.8,66.7,74.5,78.6,79.0
10,2016,14,83.63636363636364,76.8,80.2,78.6,65.5,72.8,77.9,83.0
11,2016,15,82.9090909090909,83.0,78.0,76.8,69.2,72.4,78.2,88.0
12,2016,17,73.63636363636364,74.0,68.83333333333333,71.9,58.4,63.0,69.4,81.0
13,2016,18,75.36363636363636,75.0,71.66666666666667,72.5,63.3,67.0,68.7,74.0
14,2016,21,78.9090909090909,79.4,77.2,67.2,60.6,66.7,70.5,81.0
15,2016,20,77.27272727272727,77.4,77.4,71.3,58.5,68.4,72.9,75.0
16,2016,24,82.36363636363636,80.66666666666667,79.5,74.6,69.5,73.8,75.1,87.0
17,2016,25,76.27272727272727,75.0,73.6,69.1,59.2,64.3,68.5,83.0
18,2016,27,78.18181818181819,78.0,74.33333333333333,73.2,66.3,66.5,71.6,82.0
19,2016,28,69.0,74.16666666666667,66.5,67.9,51.2,58.8,62.8,72.0
0,2017,0,83.72727272727273,77.6,80.2,74.9,63.7,72.3,75.7,82.0
1,2017,1,73.63636363636364,73.8,74.8,65.3,57.3,65.3,68.1,71.0
2,2017,2,75.54545454545455,72.5,73.75,74.1,60.2,66.3,71.8,81.0
3,2017,3,74.45454545454545,74.25,72.25,63.4,59.4,66.3,68.3,76.0
4,2017,4,76.27272727272727,78.5,74.5,68.5,61.8,69.0,71.9,80.0
5,2017,6,84.63636363636364,78.2,80.0,78.0,67.1,72.6,77.6,85.0
6,2017,7,75.63636363636364,74.6,74.4,71.3,60.7,66.0,69.3,73.0
7,2017,8,79.81818181818181,77.4,78.8,68.6,64.3,69.3,71.0,77.0
8,2017,12,77.72727272727273,79.25,76.75,67.3,59.1,65.7,71.3,83.0
9,2017,13,82.0909090909091,78.2,77.6,79.2,66.7,73.6,78.9,80.0
10,2017,14,83.54545454545455,80.2,80.6,75.5,67.4,73.2,76.5,81.0
11,2017,15,83.72727272727273,83.33333333333333,78.16666666666667,74.9,68.4,74.3,76.7,90.0
12,2017,17,74.54545454545455,76.0,75.0,67.9,60.5,64.9,70.2,70.0
13,2017,18,71.36363636363636,74.16666666666667,68.0,65.6,58.0,62.8,64.8,67.0
14,2017,21,78.0,79.6,71.6,67.8,58.6,65.8,69.8,81.0
15,2017,20,78.45454545454545,77.83333333333333,76.33333333333333,72.6,60.4,70.1,74.6,74.0
16,2017,24,83.81818181818181,81.16666666666667,80.66666666666667,74.9,70.7,74.9,76.3,88.0
17,2017,25,76.45454545454545,78.33333333333333,74.33333333333333,71.0,62.8,65.7,70.6,83.0
18,2017,27,79.36363636363636,76.0,76.66666666666667,71.3,63.1,69.3,73.3,83.0
19,2017,28,73.0,76.0,70.0,70.1,59.0,63.7,67.6,72.0
0,2018,0,82.36363636363636,74.0,77.0,73.0,66.1,72.2,75.2,78.0
1,2018,1,72.9090909090909,76.2,70.8,72.8,58.6,64.5,70.0,73.0
2,2018,2,75.81818181818181,70.75,75.5,72.2,61.1,67.7,72.4,80.0
3,2018,3,76.0909090909091,74.5,75.25,60.7,60.9,67.3,69.7,80.0
4,2018,4,78.18181818181819,76.75,78.5,67.6,62.1,71.2,73.7,79.0
5,2018,6,84.36363636363636,77.5,82.5,73.9,67.5,77.9,78.5,84.0
6,2018,7,76.72727272727273,74.0,74.75,70.5,59.3,66.8,69.9,73.0
7,2018,8,79.36363636363636,76.16666666666667,77.83333333333333,71.8,64.3,70.0,73.9,83.0
8,2018,12,79.0,76.33333333333333,78.16666666666667,67.6,61.3,67.2,73.7,83.0
9,2018,13,83.27272727272727,75.6,77.8,75.9,68.1,74.5,79.0,82.0
10,2018,14,86.18181818181819,79.8,82.4,77.0,70.3,76.6,79.8,85.0
11,2018,15,84.0909090909091,78.0,79.0,75.8,69.9,75.4,77.5,90.0
12,2018,17,76.36363636363636,75.75,75.25,69.9,58.0,64.0,70.0,75.0
13,2018,18,70.36363636363636,68.33333333333333,66.0,69.9,55.4,59.6,63.3,74.0
14,2018,21,74.54545454545455,78.8,72.0,69.8,56.9,64.0,68.3,83.0
15,2018,20,77.27272727272727,74.25,76.75,66.5,60.5,67.8,69.9,78.0
16,2018,24,84.72727272727273,78.66666666666667,82.33333333333333,71.7,70.7,77.4,77.4,88.0
17,2018,25,77.18181818181819,77.0,75.83333333333333,65.2,64.3,67.2,71.2,76.0
18,2018,27,77.9090909090909,74.83333333333333,74.66666666666667,67.5,59.5,68.5,71.6,78.0
19,2018,28,77.0,75.6,73.2,66.5,58.7,66.7,67.8,85.0
0,2019,0,82.63636363636364,74.66666666666667,77.33333333333333,74.4,69.3,73.6,76.6,83.0
1,2019,1,75.0909090909091,73.2,69.6,71.6,61.7,68.8,71.2,79.0
2,2019,2,77.27272727272727,71.25,77.0,73.7,64.8,69.8,73.4,76.0
3,2019,3,76.81818181818181,72.6,69.8,58.2,61.1,66.8,67.2,81.0
4,2019,4,76.72727272727273,77.5,76.5,64.3,60.4,69.4,70.6,78.0
5,2019,6,80.81818181818181,73.2,77.8,72.4,61.1,70.6,74.9,84.0
6,2019,7,77.18181818181819,69.5,74.75,63.6,62.5,67.9,70.6,80.0
7,2019,8,80.0909090909091,78.16666666666667,78.0,71.9,66.2,71.5,75.3,82.0
8,2019,12,79.18181818181819,75.8,78.4,72.6,60.2,68.3,72.2,82.0
9,2019,13,85.72727272727273,78.0,82.4,79.6,67.7,77.0,79.9,85.0
10,2019,14,86.36363636363636,77.0,82.8,75.5,69.4,79.4,81.8,86.0
11,2019,15,82.0,79.66666666666667,77.16666666666667,76.2,66.8,73.1,78.7,90.0
12,2019,17,76.9090909090909,73.2,74.0,70.2,60.0,67.3,71.0,77.0
13,2019,18,72.45454545454545,71.5,68.83333333333333,71.0,56.0,62.2,68.7,74.0
14,2019,21,71.81818181818181,75.8,66.0,66.8,55.3,61.2,65.4,80.0
15,2019,20,76.0909090909091,72.6,75.4,62.9,53.9,65.5,68.3,76.0
16,2019,24,84.0909090909091,73.83333333333333,78.0,73.3,67.9,76.9,79.3,89.0
17,2019,25,78.27272727272727,75.5,76.33333333333333,65.1,63.7,70.7,73.5,79.0
18,2019,27,79.0,74.2,75.8,69.1,58.8,68.2,72.5,80.0
19,2019,28,79.36363636363636,75.6,76.4,64.3,61.0,70.8,69.8,84.0
